scientific-001	14	14	2 add 3 multiply 4 equals
scientific-002	3	3	2 add 3 multiply
scientific-003	10	10	2 multiply 3 add 4 equals
scientific-004	9	9	2 add 3 multiply 4 subtract 5 equals
scientific-005	19	19	1 add 2 multiply 3 pow 2 equals
scientific-006	26	26	2 add 3 multiply 4 equals equals
scientific-007	20	20	lparen 2 add 3 rparen multiply 4 equals
scientific-008	14	14	2 multiply lparen 3 add 4 rparen equals
scientific-009	3	3	lparen 1 add 2 equals
scientific-010	14	14	2 lparen 3 add 4 rparen equals
scientific-011	20	20	lparen 2 add 3 rparen 4 equals
scientific-012	0.33333333333333333333333333333333	0.33333333333333333333333333333333	1 divide 3 equals
scientific-013	0.66666666666666666666666666666667	0.66666666666666666666666666666667	2 divide 3 equals
scientific-014	0.3	0.3	0 decimal 1 add 0 decimal 2 equals
scientific-015	3.3333333333333333333333333333333e-4	3.3333333333333333333333333333333e-4	1 divide 3 0 0 0 equals
scientific-016	12,345,678,901,234,567,890,123,456,789,012	12,345,678,901,234,567,890,123,456,789,012	1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3
scientific-017	12,345,678,901,234,567,890	12,345,678,901,234,567,890	1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0
scientific-018	1.e+32	1.e+32	9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 add 1 equals
scientific-019	10,000,000,000,000,000,000,000,000,000,000	10,000,000,000,000,000,000,000,000,000,000	1 exp 3 1 equals
scientific-020	7.8865786736479050355236321393219e+374	7.8865786736479050355236321393219e+374	2 0 0 factorial
scientific-021	2,432,902,008,176,640,000	2,432,902,008,176,640,000	2 0 factorial
scientific-022	3.0414093201713378043612608166065e+64	3.0414093201713378043612608166065e+64	5 0 factorial
scientific-023	1	1	0 factorial
scientific-024	Invalid input	Invalid input	1 negate factorial
scientific-025	Overflow	Overflow	3 2 5 0 factorial
scientific-026	0.5	0.5	3 0 sin
scientific-027	-0.98803162409286178998774890729446	0.5	3 0 sin
scientific-028	0.45399049973954679156040836635787	0.5	3 0 sin
scientific-029	-0.98803162409286178998774890729446	-0.98803162409286178998774890729446	3 0 angle sin
scientific-030	0.5	-0.95241298041515629269381659599293	6 0 cos
scientific-031	1	1.6197751905438615499827965173949	4 5 tan
scientific-032	0	-0.80115263573383047774673111582099	1 8 0 sin
scientific-033	0	-0.44807361612917015236547731439964	9 0 cos
scientific-034	Invalid input	-1.9952004122082420252873530763796	9 0 tan
scientific-035	-0.5	0.98803162409286178998774890729446	3 0 negate sin
scientific-036	0.8414709848078965066525023216303	0.8414709848078965066525023216303	1 sin
scientific-037	0	0.86231887228768393410193851395084	1 0 0 cos
scientific-038	Invalid input	Invalid input	1 exp 1 0 0 sin
scientific-039	30	0.52359877559829887307710723054658	0 decimal 5 inv sin
scientific-040	0	0	1 inv cos
scientific-041	45	0.78539816339744830961566084581988	1 inv tan
scientific-042	0.78539816339744830961566084581988	0.78539816339744830961566084581988	1 inv tan
scientific-043	50	0.78539816339744830961566084581988	1 inv tan
scientific-044	60	1.0471975511965977461542144610932	0 decimal 5 inv cos
scientific-045	Invalid input	Invalid input	2 inv sin
scientific-046	1.1752011936438014568823818505956	1.1752011936438014568823818505956	1 hyp sin
