converter-001	1,000	1,000	1	VOLUME: Liters [1] -> Milliliters
converter-002	3.785412	3.785412	1	VOLUME: Gallons (US) [1] -> Liters
converter-003	473.1765	473.1765	2	VOLUME: Cups (US) [2] -> Milliliters
converter-004	1.609344	1.609344	1	LENGTH: Miles [1] -> Kilometers
converter-005	8.04672	8.04672	5	LENGTH: Miles [5] -> Kilometers
converter-006	30.48	30.48	1 2	LENGTH: Inches [12] -> Centimeters
converter-007	0.9144	0.9144	3	LENGTH: Feet [3] -> Meters
converter-008	6.213712	6.213712	1 0	LENGTH: Kilometers [10] -> Miles
converter-009	2.204623	2.204623	1	WEIGHT AND MASS: Kilograms [1] -> Pounds
converter-010	1	1	1 6	WEIGHT AND MASS: Ounces [16] -> Pounds
converter-011	6.350293	6.350293	1	WEIGHT AND MASS: Stone [1] -> Kilograms
converter-012	212	212	1 0 0	TEMPERATURE: Celsius [100] -> Fahrenheit
converter-013	0	0	3 2	TEMPERATURE: Fahrenheit [32] -> Celsius
converter-014	273.15	273.15	0	TEMPERATURE: Celsius [0] -> Kelvin
converter-015	37	37	9 8 decimal 6	TEMPERATURE: Fahrenheit [98.6] -> Celsius
converter-016	4.184	4.184	1	ENERGY: Food calories [1] -> Kilojoules
converter-017	3,600,000	3,600,000	1	ENERGY: Kilowatt-hours [1] -> Joules
converter-018	2,110.112	2,110.112	2	ENERGY: British thermal units [2] -> Joules
converter-019	4,046.856	4,046.856	1	AREA: Acres [1] -> Square meters
converter-020	2.471054	2.471054	1	AREA: Hectares [1] -> Acres
converter-021	2.589988	2.589988	1	AREA: Square miles [1] -> Square kilometers
converter-022	62.13712	62.13712	1 0 0	SPEED: Kilometers per hour [100] -> Miles per hour
converter-023	36	36	1 0	SPEED: Meters per second [10] -> Kilometers per hour
converter-024	1.852	1.852	1	SPEED: Knots [1] -> Kilometers per hour
converter-025	24	24	1	TIME: Days [1] -> Hours
converter-026	1.5	1.5	9 0	TIME: Minutes [90] -> Hours
converter-027	365.25	365.25	1	TIME: Years [1] -> Days
converter-028	745.6999	745.6999	1	POWER: Horsepower (US) [1] -> Watts
converter-029	1,000	1,000	1	POWER: Kilowatts [1] -> Watts
converter-030	5.686903	5.686903	1 0 0	POWER: Watts [100] -> BTUs/minute
converter-031	1,000	1,000	1	DATA: Gigabytes [1] -> Megabytes
converter-032	1,024	1,024	1	DATA: Gibibytes [1] -> Mebibytes
converter-033	8	8	1	DATA: Bytes [1] -> Bits
converter-034	125	125	1	DATA: Megabits [1] -> Kilobytes
converter-035	1.01325	1.01325	1	PRESSURE: Atmospheres [1] -> Bars
converter-036	14.69595	14.69595	1	PRESSURE: Atmospheres [1] -> Pounds per square inch
converter-037	100	100	1	PRESSURE: Bars [1] -> Kilopascals
converter-038	3.141593	3.141593	1 8 0	ANGLE: Degrees [180] -> Radians
converter-039	90	90	1 0 0	ANGLE: Gradians [100] -> Degrees
converter-040	57.29578	57.29578	1	ANGLE: Radians [1] -> Degrees
